"124","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","randomisation, la majorité (97 %) recevait 20 mg de tamoxifène, mais celles qui recevaient 30 mg étaient éligibles. Au total, 4 742 femmes ont été incluses dans l’essai. Avec un recul médian de 30, 6 mois, la seconde analyse intermédiaire dénombre 449 événements","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page22","été incluses dans","",""
"125","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","pour un cancer du sein curable pendant 5 ans. Après 4, 5 à 6 ans de tamoxifène ou dans les 3 mois qui suivaient, les femmes pouvaient être incluses dans l’essai pour recevoir du létrozole ou un placebo pour une durée de 5 ans. Au total, 5","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page22","être incluses dans","",""
"126","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","de cette étude était d’évaluer l’incidence des lymphocèles axillaires, leurs facteurs favorisants et leur morbidité. Résultats Descriptif de la population étudiée Deux cent vingt-neuf patientes ont été incluses dans cette étude. Leur âge moyen était de 58 ans (25 à 83 ans). Cent soixante-dix-neuf (","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page23","été incluses dans","",""
"127","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","cycles supplémentaires de CVAP ou 4 cycles de docetaxel. Celles qui ne répondaient pas après 4 cycles de CVAP recevaient 4 cycles de docetaxel. Cent soixante-sept patientes ont été incluses dans l’étude, 162 étaient éligibles, 104 ont présenté une réponse et ont été randomisées. Le suivi médian","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page32","été incluses dans","",""
"128","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","de NX (vinorelbine 25 mg / m2 J1 et J8 et capecitabine 2 000 mg / m2 / j pendant 14 jours). Deux cent quatre-vingt-six patientes ont été incluses dans cette phase pilote. Le taux de réponse objective après 2 cycles de TAC était de 73, 5 %","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page32","été incluses dans","",""
"129","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","qualité de vie. L’étude de phase III comparait l’association épirubicine-cyclophosphamide (EC) à épirubicine-docetaxel (ED) [16]. Deux cent vingt-sept patientes ont été incluses dans cet essai en premier ligne métastatique qui en prévoit 240. L’analyse intermédiaire sur 182 patientes évaluables montre un","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page32","été incluses dans","",""
"130","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion",". Les patientes répondeuses cliniquement étaient randomisées entre 4 cures supplémentaires de CVAP ou 4 cycles de docétaxel. Les non-répondeuses recevaient 4 cycles de docétaxel et ne sont pas incluses dans l’analyse. Cent quatre patientes ont répondu au CVAP et ont été randomisées. Le suivi médian est de","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page36","incluses dans","",""
"131","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","la durée restante du traitement, au total 5 ans. Les femmes traitées pour un carcinome infiltrant du sein, avec des récepteurs hormonaux positifs ou inconnus, pouvaient être incluses dans l’essai au cours de leur troisième année de tamoxifène à titre adjuvant. Après randomisation, un traitement leur","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page37","être incluses dans","",""
"132","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","patientes (97 %) recevaient 20 mg de tamoxifène. L’objectif principal de l’essai était la survie sans récidive. Au total, 4 742 femmes ont été incluses dans 37 pays. En France, 29 centres ont inclus 398 femmes. Avec un recul médian de 30,","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page37","été incluses dans","",""
"133","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","cycles d’une association doxorubicine-docétaxel (AD). L’essai a été fermé prématurément après l’inclusion des 110 premières patientes sur les 264 prévues initialement. Les patientes incluses dans le bras témoin avaient un quatrième cycle d’AD puis 4 cycles de CMF. L’objectif principal était la","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page38","incluses dans","",""
"134","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","dehors des essais cliniques, que ce soit en préopératoire, en situation adjuvante ou au stade de métastase. En situation métastatique, une comparaison rétrospective entre les patientes incluses dans quatre essais randomisés du CALGB et les patientes du registre de l’ABMT (Autologous Blood and Marrow Transplant Registry","Plutôt non","des patientes incluses dans des essais. Pas vraiment relation de partie à tout","FR/Cancer du sein/Scientifique/page38","incluses dans","",""
"135","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","le volume cardiaque irradié lors d’une irradiation mammaire (ou pariétale) associée ou non à la CMI. Ce volume est d’autant plus important que la CMI est incluse dans le faisceau d’irradiation. L’utilisation d’un scanner pour la simulation, d’un mixage de photons et","Oui","CMI : candidat-terme (Cancer microsphere intervention) . 2 CT","FR/Cancer du sein/Scientifique/page4","est incluse dans","CMI","faisceau d'irradiation"
"136","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","en respiration libre. La respiration entraîne le mouvement de la surface du sein et de la cage thoracique, modifiant le volume cible anatomoclinique et l'épaisseur de poumon incluse dans le volume irradié. Plusieurs auteurs ont étudié l'effet du mouvement respiratoire durant l'irradiation. Ainsi, Ding","Oui","CT ?","FR/Cancer du sein/Scientifique/page401","incluse dans","épaisseur de poumon","volume irradié"
"137","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","mieux les recommandations de dilatation vaginale que les patientes du groupe témoin (44, 4 contre 5, 6 %). Relativement à l'âge, les patientes incluses dans le bras « information de groupe », appréhendaient mieux le problème de la peur de la sexualité après traitement","Plutôt non","patientes/essai","FR/Cancer du sein/Scientifique/page402","incluses dans","",""
"138","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","9 %. La central lung distance était alors de 29 mm si la chaîne mammaire interne (CMI) était irradiée contre 20 mm si elle n'était pas incluse dans les champs d'irradiation [40]. Borstein et al. ont également retrouvé une corrélation entre la mesure","Oui","négation. CT ","FR/Cancer du sein/Scientifique/page404","incluse dans","CMI","champs d'irradiation"
"139","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","augmentation des taux sanguins de déhydroépiandrostérone et d’œstradiol [19], il n’est donc pas recommandé de le prescrire dans cette situation. Cent quatre femmes ont été incluses dans un essai randomisé en double aveugle avec crossover contre placebo, sur l’utilité de la vitamine E dans les","Plutôt non","patientes/essai","FR/Cancer du sein/Scientifique/page49","été incluses dans","",""
"140","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","collecté les données de 47 études épidémiologiques cas–témoins ou cohortes réalisées dans 30 pays portant sur la relation entre l'allaitement maternel et le cancer du sein. Les études incluses dans cette méta-analyse comportaient des données provenant d'au moins 100 femmes présentant un cancer du sein invasif. Ces études","Plutôt non","deux éléments du LST","FR/Cancer du sein/Scientifique/page506","incluses dans","études","méta-analyses"
"141","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","Toutes les patientes présentant un cancer du sein infiltrant, non métastatique et non inflammatoire, prises en charge entre janvier 1997 et décembre 2003 à l’intérieur du réseau R2c, ont été incluses dans cette étude. La période de prise en charge était définie par la date de diagnostic ou, à défaut","Plutôt non","patientes/essai","FR/Cancer du sein/Scientifique/page6","été incluses dans","",""
"142","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","y présente en phénocristaux ainsi qu’en fines lamelles d’exolution au sein de la titanomagnétite. La titanomagnétite existe en phénocristaux et dans la mésostase ; elle est souvent incluse dans les autres phases minérales, en particulier les pyroxènes. Fig. 7 — Position des pyroxenes et olivines dans","Oui","candidats-termes de la minéralogie. Anaphore","FR/Volcan/Scientifique/38","incluse dans","titanomagnétite","phases minérales"
"143","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","de la titanomagnétite est plus importante : 21 à 37 % (7 à 12 % en TiOa). Les teneurs les plus faibles s’observent dans les phases incluses dans les phénocristaux d’amphibole, alors que les plus riches correspondent aux oxydes en inclusion dans le dinopyroxène. Les","Oui","candidats-termes de la minéralogie","FR/Volcan/Scientifique/38","incluses dans","phases","phénocristaux d'amphibole"
"144","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","Deux coulées historiques d'andésites (Potrerillos, 1773 et Antisanilla, 1760), issues de points de sortie adventifs de l'Antisana (figure la), sont également incluses dans cette étude. Les laves échantillonnées sont extrêmement diverses : andésites basiques riches en alumine, andésites et dacites calco-alcalines","Plutôt oui","1 candidat-terme + 1 élément du LST (""étude"")","FR/Volcan/Scientifique/geomateriaux3","incluses dans","deux coulées historiques d'andésites","étude"
"145","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","et micro-phénocristaux de plagioclase (figure 3) de la hawaiite sont calciques (An 83-76). La magnétite est moins titanifère lorsqu'elle est accolée à (ou incluse dans ) un cristal de pyroxène que lorsqu'elle est isolée dans la matrice. La hornblende est une kaersutite.","Oui","minéralogie. Candidats-termes","FR/Volcan/Scientifique/geomateriaux5","incluse dans","magnétite","cristal de pyroxène"
"146","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","Photo 4 - Tufs jaunes de la plage de la Capitainerie avec impact de bombe de basalte juvénile (Alain Guillon). Des bombes basaltiques sont incluses dans ces tufs. La coulée est en contact direct avec les tufs jaunes, sans l’intermédiaire des tufs gris","Oui","minéralogie. Candidats-termes","FR/Volcan/Scientifique/lave13","sont incluses dans","bombes basaltiques","tufs"
"147","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","Djibouti. Le lac Assal, à 160 m en-dessous du niveau de la mer, est le point le plus bas du continent africain. La République de Djibouti est incluse dans le triangle de l'Afar : vaste zone dépressionnaire d'environ 100 000 km² dont le plancher se trouve souvent","Oui","expression du lieu","FR/Volcan/Vulgarisation/corpusFR","est incluse dans","République de Djibouti","triangle de l'Afar"
"148","Y (être) {classé/classifié/catalogué/rangé/placé/inclus/étiqueté/catégorisé/groupé} dans DET X","Type de liaison","Inclusion","En effet, la présence de nombreuses inclusions de sulfures dans les diamants est une énigme, car l'élément soufre n'est présent qu'à l'état de traces dans le manteau terrestre. Il n'est pas exclu que ces traces aient été incluses dans les diamants par accident ou parce qu'elles jouent un rôle particulier dans sa cristallisation, mais on peut penser","Oui","traces : candidat-terme ? Passif","FR/Volcan/Vulgarisation/corpusFR","été incluses dans","traces","diamants"
"149","Y {sous} {catégorie/division/espèce/sorte/ race/ ensemble/ variété/type/genre/collection/ concepts/partie/partition} de DET X","Type de liaison","Inclusion","cancer familial ; il examine avec sa patiente l'opportunité d'une étude des chromosomes et de l'intérêt potentiel des résultats obtenus. Par ailleurs, ils mettent en place ensemble un programme de surveillance des seins. Questions Mon arrière-grand-mère et ma grand-mère paternelles ont eu un cancer du sein, elles","non","","FR/Cancer du sein/Vulgarisation/page15","place ensemble un programme","",""
"150","Y {sous} {catégorie/division/espèce/sorte/ race/ ensemble/ variété/type/genre/collection/ concepts/partie/partition} de DET X","Type de liaison","Inclusion","cancer familial ; il examine avec sa patiente l'opportunité d'une étude des chromosomes et de l'intérêt potentiel des résultats obtenus. Par ailleurs, ils mettent en place ensemble un programme de surveillance des seins. Dossier Santé : Le Cancer du sein Questions Mon arrière-grand-mère et ma grand-mère paternelles ont","non","","FR/Cancer du sein/Vulgarisation/page36","place ensemble un programme","",""
"151","Y {sous} {catégorie/division/espèce/sorte/ race/ ensemble/ variété/type/genre/collection/ concepts/partie/partition} de DET X","Type de liaison","Inclusion","constitue la majeure partie du globe. Un noyau, central et très dense car constitué de fer et de nickel, est liquide dans sa partie externe. La lithosphère (ensemble de la croûte et de la partie externe du manteau), épaisse de 100 à 200 km, est fragmentée en gigantesques","oui","","FR/Volcan/Vulgarisation/corpusFR","lithosphère (ensemble de la croûte","",""
"152","Y {sous} {catégorie/division/espèce/sorte/ race/ ensemble/ variété/type/genre/collection/ concepts/partie/partition} de DET X","Type de liaison","Inclusion","les paysages actuels de la Terre (morphologie des continents, ouverture d'océans, formation de chaînes de montagnes, localisation des zones sismiques et volcaniques...). VERRE, Partie d'une roche refroidie très rapidement, sans cristallisation. On trouve des verres dans les roches volcaniques. Certaines sont entièrement vitreuses","oui","","FR/Volcan/Vulgarisation/corpusFR","VERRE, Partie d'une roche","",""
"153","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","entre 0 et 33 % [13, 25-30]. Ces études comportent de multiples biais méthodologiques : analyses rétrospectives, faibles effectifs, hétérogénéité des stades inclus ( inclusion de cancers inflammatoires), différences de modalités techniques de recherche du GS, gestion anatomocytopathologique variable, niveau inégal d’expérience","plutôt non","explication","FR/Cancer du sein/Scientifique/page14","inclusion de cancers","",""
"154","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","de ce dernier est inhibée par les fortes concentrations en eau dans ces magmas. Un calcul simple montre qu'il suffit de rajouter moins de 10 % d'un assemblage de cpx-opx-ol pour ramener les concentrations en MgO de ces laves au niveau de celles du groupe AAD, sans modifier significativement","non","","FR/Volcan/Scientifique/geomateriaux3","assemblage de cpx-opx-ol","",""
"155","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","tufs et de pépérites à micro-bombes basaltiques. À leur sommet, les cultures remanient un niveau de calcaire blanc, duquel l'érosion dégage de nombreuses bombes volcaniques à inclusion de péridots . Leur surface, mamelonnée en chou-fleur, est caractéristique des explosions phréatiques. Un forage à la tarière,","non","","FR/Volcan/Scientifique/volcanismePliocene2","inclusion de péridots","",""
"156","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","failles verticales sont appelées "" dykes "". Ils miment des murs : on les croirait construit par des Cyclopes car souvent les sections de prismes juxtaposés ressemblent à un assemblage de pierres . Les lames de lave horizontales, injectées entre deux autres couches de terrains volcaniques, sont des "" sills","non","","FR/Volcan/Vulgarisation/corpusFR","assemblage de pierres","",""
"157","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion",". Il n'est pas rare au cours d'une mission de terrain d'un mois de rapporter plusieurs centaines de kilogrammes de roches. Celles-ci sont constituées d'un assemblage de minéraux parfois entourés d'une pâte homogène appelée mésostase, ressemblant à du verre. Ensuite, en laboratoire, des","plutôt oui","anaphore. Avec ""être constitué de""","FR/Volcan/Vulgarisation/corpusFR","assemblage de minéraux","minéraux","roches"
"158","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","Alors, on l'entoure pour l'aider à allumer une cigarette, dos au vent. De beaux minéraux nous récompensent : des enclaves de péridotite constituée d'un assemblage d'olivines toutes vertes, des géodes magnifiquement cristallisées de quartz et de zéolites blanches. Dans l'après-midi le ciel se","oui","avec ""être conctitué de""","FR/Volcan/Vulgarisation/corpusFR","assemblage d'olivines","olivines","enclaves de péridotite"
"159","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","précision la température et la pression auxquelles furent soumises les inclusions vitreuses pendant leur formation. Pour déterminer la température de cristallisation des minéraux, il suffit de repérer une inclusion de verre contenant une bulle. La présence de celle-ci s'explique par le fait que la goutte de verre possède un","","","FR/Volcan/Vulgarisation/corpusFR","inclusion de verre","",""
"160","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","sont indiscutablement formés dans le manteau supérieur, non loin de la racine continentale où prennent naissance les éruptions kimberlitiques. D'autres diamants, plus rares, contiennent des inclusions de grenat orangé, riche en calcium, et de pyroxène bleuté, riche en sodium (l'omphacite) qui indiquent","oui","","FR/Volcan/Vulgarisation/corpusFR","inclusions de grenat","",""
"161","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","métal, du carbure de silicium ou des sulfures, proviennent du noyau terrestre lui-même, vers 2 900 kilomètres de profondeur. En effet, la présence de nombreuses inclusions de sulfures dans les diamants est une énigme, car l'élément soufre n'est présent qu'à l'état de traces","oui","","FR/Volcan/Vulgarisation/corpusFR","inclusions de sulfures","",""
"162","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion",", d'Orapa et de Premier, en Afrique du Sud, ainsi que d'Udachnaya en Sibérie. Dans tous les cas, il s'agissait de diamants à inclusions de type péridotite ayant cristallisé dans la racine continentale profonde. Les résultats sont surprenants : formés il y a deux,","plutôt oui","nom composé qui exprime la méro ?","FR/Volcan/Vulgarisation/corpusFR","inclusions de type","",""
"163","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","et que les conditions propices à la cristallisation du diamant étaient déjà réunies à l'Archéen, il y a près de trois milliards d'années. Certains diamants à inclusion de péridotites prouvent, de plus, que les racines mantelliques froides sont restées chimiquement stables sur toute cette durée. Les","plutôt oui","nom composé qui exprime la méro ?","FR/Volcan/Vulgarisation/corpusFR","inclusion de péridotites","",""
"164","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","leur diamant-hôte s'est formé, il y a plus de 2, 5 milliards d'années, à l'ère archéenne, tout comme les très vieux cristaux à inclusion de péridotites . La résolution de ces questions exige que l'on comprenne mieux les conditions de cristallisation du diamant et la","plutôt oui","nom composé qui exprime la méro ?","FR/Volcan/Vulgarisation/corpusFR","inclusion de péridotites","",""
"165","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","éclogite se transforme en une roche de plus en plus rouge à mesure que la quantité de grenats augmente jusqu'à près de 80 pour cent. 2. Les inclusions de péridotite dans ce diamant se reconnaissent à leurs olivines vert pâle (flèche verte) et aux oxydes noirs (flèche","oui","","FR/Volcan/Vulgarisation/corpusFR","inclusions de péridotite","",""
"166","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","suffisamment vite pour éviter qu'ils soient détruits dans la "" zone interdite "". C'est ainsi que l'on trouve des diamants dans la kimberlite. 4. Inclusion de grenat dans un diamant octaédrique. 5. Les diamants renferment des inclusions caractéristiques de la zone où ils se sont","oui","","FR/Volcan/Vulgarisation/corpusFR","Inclusion de grenat","",""
"167","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","un diamant octaédrique. 5. Les diamants renferment des inclusions caractéristiques de la zone où ils se sont cristallisés. Ainsi, les diamants les plus profonds contiennent des inclusions de magnésio-wustite et des minéraux à structure pérovskite ; les diamants de la zone de transition ont des inclusions de grenat majorite","oui","","FR/Volcan/Vulgarisation/corpusFR","inclusions de magnésio-wustite","",""
"168","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","cristallisés. Ainsi, les diamants les plus profonds contiennent des inclusions de magnésio-wustite et des minéraux à structure pérovskite ; les diamants de la zone de transition ont des inclusions de grenat majorite ; enfin, les diamants formés à la base des racines continentales ont des inclusions de péridotite et d'","oui","","FR/Volcan/Vulgarisation/corpusFR","inclusions de grenat","",""
"169","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","structure pérovskite ; les diamants de la zone de transition ont des inclusions de grenat majorite ; enfin, les diamants formés à la base des racines continentales ont des inclusions de péridotite et d'éclogite. 6. L'Âge des diamants, datés à l'aide de leurs inclusions, est","oui","","FR/Volcan/Vulgarisation/corpusFR","inclusions de péridotite","",""
"170","X {classification/catégorisation/groupement/rangement/classement/inclusion/ appartenance/ assemblage} de DET Y","Type de liaison","Inclusion","de péridotite et d'éclogite. 6. L'Âge des diamants, datés à l'aide de leurs inclusions, est très variable : les diamants qui renferment des inclusions de péridotites sont âgés de deux à trois milliards d'années, tandis que ceux qui contiennent des éclogites sont plus récents","oui","","FR/Volcan/Vulgarisation/corpusFR","inclusions de péridotites","",""
"171","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion",", mixte, autres), le grade SBR, la taille tumorale anatomopathologique et l’envahissement ganglionnaire. Trois groupes de population ont été définis : * – le groupe 1 comprend les femmes de 50 à 74 ans dépistées positives, ce qui correspond à 333 cancers regroupant les 260 cancers dépistés et","Plutôt non","les femmes font partie du groupe 1 ? Pertinent ?","FR/Cancer du sein/Scientifique/page11","groupe 1 comprend les femmes","femmes","groupe 1"
"172","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","constatée dans le groupe des patientes T2-T3 N1. (Tableau 3) Une sélection des patientes a été faite lors du bilan sénologique à l’issue de la 6e cure de chimiothérapie, comprenant l’élimination des résistances et des progressions tumorales, l’inclusion des réponses cliniques objectives supérieures ou égales à 50 %,","Oui","CT","FR/Cancer du sein/Scientifique/page14","cure de chimiothérapie, comprenant l’élimination","élimination des résistances et des progressions tumorales, inclusion des réponses cliniques","6e cure de chimiothérapie"
"173","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","le taux de cancers détectés pour 1 000 femmes était de 4, 61 et le coût total du programme par cancer détecté de 13 677 euros. Ce coût total comprend les coûts liés à l’association, aux caisses et au remboursement des examens. Nous ne disposons pas d’un recul","Plutôt non","concerne des coûts… pas vraiment pertinent. Mais relation présente.","FR/Cancer du sein/Scientifique/page17","coût total comprend les coûts","",""
"174","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","féminine (ovulatoire, tubaire, liée à une endométriose), masculine (par anomalies du sperme) ou mixte. L’évaluation de la réserve ovarienne au troisième jour du cycle, comprends le dosage de la FSH et d’un marqueur ovarien très sensible, l’hormone antimüllérienne (AMH), ainsi qu’une échographie pelvienne pour préciser le compte des follicules antraux. ","Oui","CT","FR/Cancer du sein/Scientifique/page2","jour du cycle, comprends le dosage","le dosage de la FSH et un marqueur ovarien très sensible","évaluation de la réserve ovarienne au troisième jour du cycle"
"175","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","Cancer du sein métastatique Femmes non ménopausées Le traitement hormonal du cancer du sein métastasé chez la femme jeune comprend la suppression ovarienne définitive ou temporaire et le tamoxifène. ","Oui","CT","FR/Cancer du sein/Scientifique/page22","femme jeune comprend la suppression","suppression ovarienne définitive ou temporaire et le tamoxifène","traitement hormonal du cancer du sein"
"176","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","Deux facteurs de risque liés à la technique apparaissent aussi en analyse univariée : le nombre élevé de ganglions prélevés et l’ acte chirurgical comportant un curage axillaire. On met donc clairement en évidence dans cette étude que, quand une patiente présente une tumeur sans","Oui","CT. Pprésent","FR/Cancer du sein/Scientifique/page23","acte chirurgical comportant un curage","curage axilliaire","acte chirurgical"
"177","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","par deux gènes distincts positionnés sur les locus chromosomiques (6q25-1 pour REα et 14q22-24 pour REβ) [7, 8]. Ils appartiennent à la superfamille des récepteurs nucléaires, qui comprend les récepteurs des différentes hormones stéroïdes, des hormones thyroïdiennes et des rétinoïdes [9]. Les deux récepteurs comportent six","Oui","avec virgule avant le verbe. CT","FR/Cancer du sein/Scientifique/page24","récepteurs nucléaires, qui comprend les récepteurs","récepteurs des différentes hormones stéroïdes, hormones thyroïdiennes, rétinoïdes","superfamille des réceptuers nucléaires"
"178","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion",", et a une très faible affinité pour les récepteurs des androgènes et de la progestérone. La plupart des inhibiteurs non stéroïdiens de type II disponibles sont des dérivés azoles. Ils incluent l’aminoglutéthimide (Orimétène ®) non spécifique, le fadrozole non approuvé en France, et plus récemment des dérivés triazoles","Oui","CT","FR/Cancer du sein/Scientifique/page24","azoles. Ils incluent l’aminoglutéthimide","aminoglutéthimide non spécifique, fadrozole","inhibiteurs non stéroïdiens de type II"
"179","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","intervalles de confiance et leur caractère non significatif incitent à interpréter ces résultats avec prudence. L’étude de chimioprophylaxie anglaise conduite au Royal Marsden Hospital (RMH) par Powles comprenait un nombre plus important de femmes à risque génétique que l’étude du NSABP [50]. ","Plutôt non","LST. L'étude comprenait un nombre de femmes…","FR/Cancer du sein/Scientifique/page28","Powles comprenait un nombre","",""
"180","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","après l’injection), la dose était réduite de moitié, soit 2 fois 20 MBq (0, 5 mCi). Huit chirurgiens ayant préalablement réalisé une phase d’apprentissage comprenant un minimum de 30 patientes opérées ont participé à cette étude. Pour toutes les patientes, le protocole chirurgical débutait par","Plutôt oui","pertinent ?","FR/Cancer du sein/Scientifique/page29","phase d’apprentissage comprenant un minimum","un minimum de 30 patientes","phase d'apprentissage"
"181","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","pris après dix minutes pour identifier le drainage dominant puis des clichés plus tardifs étaient obtenus entre deux et quatre heures après l’injection de l’isotope radioactif. Les clichés de face incluaient le sein malade et les aires ganglionnaires axillaires, claviculaires et mammaires internes de façon bilatérale. Les clichés latéraux étaient obtenus","Plutôt oui","au moins un CT","FR/Cancer du sein/Scientifique/page300","clichés de face incluaient le sein","le sein malade et les aires ganglionnaires axilliaires","clichés de face"
